timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.71699E+12,3,HTTP Request,200,,Thread Group 1-363,text,TRUE,,576,216,11,11,http://localhost:5009/data/filterfromAllCSV,3,0,1
1.71699E+12,3,HTTP Request,200,,Thread Group 1-362,text,TRUE,,576,216,10,10,http://localhost:5009/data/filterfromAllCSV,3,0,0
1.71699E+12,5,HTTP Request,200,,Thread Group 1-361,text,TRUE,,576,216,9,9,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-360,text,TRUE,,576,216,9,9,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,5,HTTP Request,200,,Thread Group 1-359,text,TRUE,,576,216,8,8,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-358,text,TRUE,,576,216,7,7,http://localhost:5009/data/filterfromAllCSV,4,0,0
1.71699E+12,5,HTTP Request,200,,Thread Group 1-357,text,TRUE,,576,216,7,7,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,3,HTTP Request,200,,Thread Group 1-356,text,TRUE,,576,216,4,4,http://localhost:5009/data/filterfromAllCSV,3,0,1
1.71699E+12,2,HTTP Request,200,,Thread Group 1-355,text,TRUE,,576,216,4,4,http://localhost:5009/data/filterfromAllCSV,2,0,0
1.71699E+12,6,HTTP Request,200,,Thread Group 1-353,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,6,0,0
1.71699E+12,7,HTTP Request,200,,Thread Group 1-354,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,7,0,1
1.71699E+12,7,HTTP Request,200,,Thread Group 1-364,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,7,0,3
1.71699E+12,5,HTTP Request,200,,Thread Group 1-365,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,8,HTTP Request,200,,Thread Group 1-366,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,8,0,1
1.71699E+12,6,HTTP Request,200,,Thread Group 1-367,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,6,0,1
1.71699E+12,12,HTTP Request,200,,Thread Group 1-368,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,12,0,1
1.71699E+12,6,HTTP Request,200,,Thread Group 1-369,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,6,0,1
1.71699E+12,10,HTTP Request,200,,Thread Group 1-370,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,10,0,1
1.71699E+12,11,HTTP Request,200,,Thread Group 1-371,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,11,0,1
1.71699E+12,14,HTTP Request,200,,Thread Group 1-372,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,14,0,2
1.71699E+12,10,HTTP Request,200,,Thread Group 1-373,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,10,0,1
1.71699E+12,8,HTTP Request,200,,Thread Group 1-374,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,8,0,4
1.71699E+12,10,HTTP Request,200,,Thread Group 1-375,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,10,0,2
1.71699E+12,8,HTTP Request,200,,Thread Group 1-376,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,8,0,1
1.71699E+12,5,HTTP Request,200,,Thread Group 1-377,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,5,0,0
1.71699E+12,6,HTTP Request,200,,Thread Group 1-378,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,6,0,1
1.71699E+12,6,HTTP Request,200,,Thread Group 1-380,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,6,0,2
1.71699E+12,12,HTTP Request,200,,Thread Group 1-379,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,12,0,2
1.71699E+12,6,HTTP Request,200,,Thread Group 1-381,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,6,0,4
1.71699E+12,3,HTTP Request,200,,Thread Group 1-382,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,3,0,1
1.71699E+12,8,HTTP Request,200,,Thread Group 1-383,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,8,0,1
1.71699E+12,5,HTTP Request,200,,Thread Group 1-384,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,7,HTTP Request,200,,Thread Group 1-385,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,7,0,1
1.71699E+12,5,HTTP Request,200,,Thread Group 1-386,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,3,HTTP Request,200,,Thread Group 1-387,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,3,0,0
1.71699E+12,6,HTTP Request,200,,Thread Group 1-388,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,6,0,4
1.71699E+12,4,HTTP Request,200,,Thread Group 1-389,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,4,0,0
1.71699E+12,3,HTTP Request,200,,Thread Group 1-391,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,3,0,0
1.71699E+12,7,HTTP Request,200,,Thread Group 1-390,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,7,0,1
